date,close,volume,amount,turn,pctChg,peTTM,pbMRQ
2024-11-20,93.2800,58507495,5461026114.3400,2.942500,-1.707100,193.001800,5.146819
2024-11-21,93.5000,56197106,5261662792.0500,2.826300,0.235800,193.456993,5.158957
2024-11-22,88.7700,79240108,7262624325.9700,3.985200,-5.058800,183.670345,4.897975
2024-11-25,86.1600,76905909,6619040919.1200,3.867800,-2.940200,178.270102,4.753965
2024-11-26,85.1000,35363542,3031752239.0400,1.778500,-1.230300,176.076899,4.695479
2024-11-27,88.0000,77430532,6702107163.5700,3.894200,3.407800,182.077170,4.855489
2024-11-28,87.0800,61110137,5379089958.6700,3.073400,-1.045500,180.192552,4.805232
2024-11-29,90.1000,87940358,7877287510.7000,4.422800,3.468100,186.441765,4.971881
2024-12-02,89.4900,64010784,5727497109.6900,3.219300,-0.677000,185.179507,4.938220
2024-12-03,87.2300,58676009,5144153238.9100,2.951000,-2.525400,180.502943,4.813509
2024-12-04,87.6700,68106713,6069393147.0200,3.425300,0.504400,181.413424,4.837789
2024-12-05,87.0000,39595741,3445580322.0100,1.991400,-0.764200,180.027438,4.800829
2024-12-06,88.9300,54044117,4776133051.9000,2.718000,2.218400,184.021151,4.907330
2024-12-09,86.7800,42411257,3699239863.2800,2.133000,-2.417600,179.572197,4.788689
2024-12-10,88.0000,69668121,6260001390.8400,3.503800,1.405900,182.098360,4.856054
2024-12-11,86.8200,40065377,3497866786.8900,2.015000,-1.340900,179.656587,4.790939
2024-12-12,87.1700,44489757,3859300465.9000,2.237500,0.403100,180.380842,4.810253
2024-12-13,82.9900,82003231,6922583408.0800,4.124200,-4.795200,171.731169,4.579590
2024-12-16,81.5000,47629570,3899339617.7600,2.395400,-1.795400,168.647913,4.497368
2024-12-17,82.1900,40662192,3337273305.4300,2.045000,0.846600,170.075730,4.535444
2024-12-18,83.4000,48400022,4019779410.8900,2.434200,1.472200,172.579582,4.602215
2024-12-19,85.4400,67399207,5699200996.2200,3.389700,2.446000,176.800953,4.714787
2024-12-20,94.2800,176770271,16308583666.2000,8.890300,10.346400,195.093561,5.202600
